ID;Strassenname;PLZ;Region;latitude;longitude
295;Zeppelinstr. 56;014471;Potsdam-West;52.3906478;13.0305027
296;Platz Der Freundschaft 14;018273;Güstrow;53.7772082;12.1772284
297;Vorstadt Neumarkt 5-7;014913;Jüterbog;51.990697;13.0892579
298;Berliner Str. 121;014467;Potsdam-Berliner Vorstadt;52.4073551;13.0749798
299;Warener Chaussee 6;017207;Röbel;53.3850457;12.6033645
300;Horstweg 98;014478;Potsdam-Schlaatz;52.3788424;13.08459
301;Wilmsstr. 57;014624;Dallgow-Döberitz;52.5423748;13.0629424
302;Rostocker Chaussee 3;018273;Güstrow;53.8053998;12.184826
303;Schulstr. 9;018236;Kröpelin;54.0700223;11.8030317
304;Ruppiner Str. 57;016766;Kremmen;52.764871;13.0267695
305;Falkenhagener Str. 86;014612;Falkensee;52.5714753;13.0896864
306;Zum Kirchsteigfeld 12;014480;Potsdam-Kirchsteigfeld;52.3666811;13.1295194
307;Großbeerenstr. 265;014480;Potsdam-Am Stern;52.380299;13.131142
308;Hermannstr. 24;018225;Kühlungsborn;54.1511293;11.7331029
309;Heerstr. 640;013591;Berlin-Spandau;52.5274945;13.1277617
310;Berliner Str. 41;016831;Rheinsberg;53.0941603;12.8995851
311;Kladower Damm 363-365;014089;Berlin-Kladow;52.4550422;13.1459617
312;Schützenstr. 46;014943;Luckenwalde;52.0979129;13.1797738
313;Seegefelder Weg 391;013591;Berlin-Spandau;52.5462278;13.1428414
314;Doberaner Str. 30C;018258;Schwaan;53.94512;12.09853
315;Berliner Tor 3;014959;Trebbin;52.2210243;13.218309
316;Am Omnibushof 13;013593;Berlin-Spandau;52.5180782;13.1841149
317;Rostocker Str. 2-4;018209;Bad Doberan;54.102619;11.9044763
318;Wannseestr. 17;014532;Stahnsdorf;52.3934084;13.2109581
319;Seeburger Str. 18;013581;Berlin-Spandau;52.52780869999999;13.1884328
320;Falkenseer Damm 19;013585;Berlin-Spandau;52.5432638;13.1980431
321;Karl-Marx-Str. 38-42;014532;Kleinmachnow;52.4151423;13.2249832
322;Neuendorfer Str. 30;013585;Berlin-Spandau;52.5456927;13.2085083
323;Rosa-Luxemburg-Platz 1;016761;Hennigsdorf;52.6422974;13.1928002
324;Poststr. 20;016727;Velten;52.686853;13.1775962
325;Elbestr. 1;014513;Teltow;52.39955879999999;13.2515694
326;Am Bahnhof 2A;014974;Ludwigsfelde;52.297298;13.266406
327;Strelitzer Str. 38;017192;Waren;53.5150702;12.6989123
328;Nonnendammallee 175;013599;Berlin-Spandau;52.5395804;13.2336053
329;Mühlenstr. 2;014167;Berlin-Zehlendorf;52.42953;13.2602
330;Charlottenburger Chaussee 18;013597;Berlin-Spandau;52.5260487;13.2414723
331;Eichenallee 41;016767;Leegebruch;52.7238274;13.1884769
332;Teltower Damm 295;014167;Berlin-Zehlendorf;52.4068574;13.2693367
333;Hüttenweg 50;014195;Berlin-Zehlendorf;52.4575061;13.2633506
334;Clayallee 278;014169;Berlin-Zehlendorf;52.4417026;13.2668307
335;Ruppiner Chaussee 401;013503;Berlin-Reinickendorf;52.6250807;13.229299
336;Märkische Allee 85;014979;Großbeeren;52.3561;13.28901
337;Curtiusstr. 36;012205;Berlin-Lichterfelde;52.4409529;13.2901247
338;Wismarer Str. 35;012207;Berlin-Lichterfelde;52.4207895;13.299449
339;Fürstenbrunner Weg 14-18;014059;Berlin-Charlottenburg;52.5200957;13.2810828
340;Sophie-Charlotten-Str. 31;014059;Berlin-Charlottenburg;52.51547;13.28729
341;Seesener Str. 10-13;010709;Berlin-Wilmersdorf;52.49157630000001;13.2982549
342;Gervinusstr. 30;010629;Berlin-Charlottenburg;52.5029541;13.2984499
343;Satower Str. 7D;018059;Rostock-Süd;54.0766062;12.0997124
344;Tschaikowskistr. 39;018069;Rostock-Reutershagen;54.08775989999999;12.0873085
345;Karolinenstr. 1-2;013507;Berlin-Reinickendorf;52.5943605;13.2820926
346;Berliner Str. 49;016515;Oranienburg;52.748239;13.2372684
347;Hindenburgdamm 94;012203;Berlin-Lichterfelde;52.4420065;13.3153943
348;Wilmersdorfer Str. 126;010627;Berlin-Charlottenburg;52.5097818;13.3062582
349;Rothenburgstr. 38A;012163;Berlin-Steglitz;52.45853;13.31888
350;Maxim-Gorki-Str. 66/67;018106;Rostock-Evershagen;54.1170948;12.053026
351;Lise-Meitner-Str. 6;010589;Berlin-Charlottenburg;52.5278327;13.307553
352;Backofenweg 4;016540;Hohen Neuendorf;52.6726652;13.276647
353;Schlossstr. 1;012163;Berlin;52.4648189;13.3265858
354;Birkbuschstr. 54;012167;Berlin-Steglitz;52.4444131;13.3313959
355;Backofenweg 13;016540;Hohen Neuendorf;52.6730135;13.276874
356;Kaiser-Wilhelm-Str. 6;012247;Berlin-Lankwitz;52.4303255;13.3330431
357;Knesebeckstr. 47/48;010719;Berlin-Charlottenburg;52.5006346;13.3212159
358;Bergstr. 86;012169;Berlin-Steglitz;52.4584308;13.3300126
359;Berliner Str. 26/27;010715;Berlin-Wilmersdorf;52.48676769999999;13.3249204
360;Wiesbadener Str. 1;016515;Oranienburg;52.75396569999999;13.2561338
361;Am Fischereihafen 3;018069;Rostock-Reutershagen;54.1096076;12.0847845
362;Hauptstr. 100;016547;Birkenwerder;52.6939268;13.2759795
363;Meinekestr. 22;010719;Berlin-Charlottenburg;52.501904;13.3293474
364;Doberaner Str. 144;018057;Rostock-Vorstadt;54.0893455;12.1213545
365;Warnowallee 20A;018107;Rostock-Lütten Klein;54.1387716;12.0449034
366;Holzhauser Str. 168;013509;Berlin-Borsigwalde;52.586773;13.316378
367;Innsbrucker Platz (im U-Bahnhof);010827;Berlin-Schöneberg;52.478157;13.344182
368;Stephan-Jantzen-Ring 50A;018106;Rostock-Schmarl;54.12973969999999;12.0704653
