JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2012;010560000000;Pinneberg, Landkreis;23085.0;5.5;9.9;17.6;30.2;17.8;483.0;438.0;36.0;9.0;417.0;68065.0;21.3;2.3;62.0;8.8
2013;010560000000;Pinneberg, Landkreis;23337.0;5.4;10.0;18.3;30.3;18.3;552.0;504.0;41.0;7.0;585.0;91588.0;21.4;2.3;61.9;8.8
2014;010560000000;Pinneberg, Landkreis;23634.0;5.4;10.0;19.2;33.0;20.2;436.0;409.0;23.0;4.0;319.0;58836.0;21.5;2.3;61.8;8.8
2015;010560000000;Pinneberg, Landkreis;24111.0;5.2;9.4;20.5;33.2;21.3;522.0;480.0;34.0;8.0;427.0;75247.0;21.5;2.3;61.7;8.9
2010;010570000000;Plön, Landkreis;19188.0;6.3;10.5;16.4;29.3;5.6;301.0;286.0;15.0;0.0;170.0;53072.0;9.2;0.9;68.5;11.3
2011;010570000000;Plön, Landkreis;19873.0;6.2;9.6;19.1;29.6;5.7;262.0;252.0;10.0;0.0;151.0;40161.0;9.3;1.1;68.5;11.3
2012;010570000000;Plön, Landkreis;20634.0;5.7;10.4;21.3;35.4;5.8;248.0;232.0;15.0;1.0;126.0;32690.0;9.3;1.1;68.5;11.3
2013;010570000000;Plön, Landkreis;21128.0;5.6;10.4;22.2;33.1;5.8;211.0;200.0;11.0;0.0;87.0;22648.0;9.3;1.1;68.4;11.3
2014;010570000000;Plön, Landkreis;21512.0;5.7;10.0;24.1;36.0;6.2;252.0;247.0;5.0;0.0;238.0;26542.0;9.4;1.1;68.3;11.3
2015;010570000000;Plön, Landkreis;22037.0;5.5;9.7;25.8;37.9;7.8;253.0;240.0;12.0;1.0;201.0;36083.0;9.4;1.1;68.3;11.3
2010;010580000000;Rendsburg-Eckernförde, Landkreis;19552.0;6.0;10.6;16.6;29.2;6.5;588.0;556.0;31.0;1.0;355.0;71726.0;10.8;0.7;72.4;11.4
2011;010580000000;Rendsburg-Eckernförde, Landkreis;20324.0;5.6;11.6;18.8;27.0;6.4;543.0;519.0;22.0;2.0;263.0;51195.0;11.0;0.9;72.3;11.4
2012;010580000000;Rendsburg-Eckernförde, Landkreis;21094.0;5.5;11.2;19.8;29.3;6.3;582.0;562.0;17.0;3.0;635.0;202297.0;11.1;0.9;72.2;11.4
2013;010580000000;Rendsburg-Eckernförde, Landkreis;21650.0;5.7;12.0;19.8;32.4;6.6;578.0;564.0;14.0;0.0;505.0;111249.0;11.1;0.9;72.0;11.5
2014;010580000000;Rendsburg-Eckernförde, Landkreis;21964.0;5.5;11.5;21.4;34.7;7.0;575.0;550.0;25.0;0.0;309.0;283405.0;11.3;1.0;71.7;11.6
2015;010580000000;Rendsburg-Eckernförde, Landkreis;22510.0;5.2;11.3;22.2;35.1;8.8;611.0;584.0;26.0;1.0;401.0;203113.0;11.3;1.0;71.6;11.6
2010;010590000000;Schleswig-Flensburg, Landkreis;18490.0;9.0;12.1;17.0;45.4;4.9;536.0;496.0;36.0;4.0;492.0;95583.0;10.5;0.5;75.8;6.8
2011;010590000000;Schleswig-Flensburg, Landkreis;19213.0;8.5;11.2;18.9;46.7;5.4;426.0;397.0;27.0;2.0;349.0;58471.0;10.6;0.6;75.7;6.8
2012;010590000000;Schleswig-Flensburg, Landkreis;19872.0;7.9;11.7;18.3;43.7;5.5;490.0;458.0;28.0;4.0;262.0;63183.0;10.6;0.6;75.6;6.9
2013;010590000000;Schleswig-Flensburg, Landkreis;20650.0;7.7;12.0;18.0;45.5;5.4;454.0;418.0;33.0;3.0;321.0;71659.0;10.7;0.6;75.5;6.9
2014;010590000000;Schleswig-Flensburg, Landkreis;20792.0;7.3;10.8;19.3;51.4;5.7;412.0;385.0;20.0;7.0;145.0;40954.0;10.7;0.6;75.4;7.0
2015;010590000000;Schleswig-Flensburg, Landkreis;21468.0;6.7;10.3;20.2;51.0;7.0;380.0;362.0;15.0;3.0;150.0;46163.0;10.8;0.6;75.2;7.0
2010;010600000000;Segeberg, Landkreis;19986.0;5.4;10.8;16.9;27.3;10.0;591.0;566.0;25.0;0.0;471.0;87797.0;13.0;1.1;66.6;17.3
2011;010600000000;Segeberg, Landkreis;20600.0;5.0;10.2;20.2;27.1;10.1;560.0;522.0;38.0;0.0;555.0;146496.0;13.1;1.2;66.5;17.4
2012;010600000000;Segeberg, Landkreis;21257.0;4.8;10.0;21.6;28.7;9.8;496.0;462.0;33.0;1.0;297.0;65449.0;13.2;1.2;66.4;17.4
2013;010600000000;Segeberg, Landkreis;21752.0;5.1;9.7;20.8;30.9;10.5;423.0;394.0;29.0;0.0;490.0;70015.0;13.3;1.2;66.3;17.3
2014;010600000000;Segeberg, Landkreis;22140.0;5.0;9.7;20.6;32.8;11.2;453.0;419.0;28.0;6.0;511.0;94391.0;13.3;1.2;66.2;17.4
2015;010600000000;Segeberg, Landkreis;22693.0;4.8;9.6;20.5;34.5;13.1;371.0;335.0;27.0;9.0;317.0;71839.0;13.4;1.2;66.0;17.5
2010;010610000000;Steinburg, Landkreis;18605.0;6.3;12.3;17.4;20.6;6.5;402.0;394.0;8.0;0.0;282.0;37831.0;10.8;0.6;72.3;9.4
2011;010610000000;Steinburg, Landkreis;19231.0;6.1;11.4;19.5;24.4;6.3;331.0;315.0;16.0;0.0;219.0;42036.0;10.9;0.6;72.7;9.4
2012;010610000000;Steinburg, Landkreis;19952.0;5.9;12.2;18.8;28.0;6.8;289.0;282.0;7.0;0.0;222.0;34865.0;10.9;0.6;72.6;9.4
2013;010610000000;Steinburg, Landkreis;20255.0;6.1;12.7;19.5;29.3;7.1;278.0;259.0;19.0;0.0;78.0;88085.0;10.9;0.6;72.6;9.4
2014;010610000000;Steinburg, Landkreis;20533.0;6.3;12.1;20.4;32.6;7.5;267.0;252.0;15.0;0.0;703.0;204990.0;11.0;0.7;72.6;9.4
2015;010610000000;Steinburg, Landkreis;21023.0;6.4;11.9;21.1;33.7;8.9;203.0;188.0;15.0;0.0;139.0;25833.0;11.1;0.7;72.5;9.4
2010;010620000000;Stormarn, Landkreis;22640.0;4.4;9.7;17.8;27.9;11.2;410.0;379.0;31.0;0.0;443.0;114766.0;16.9;1.4;66.7;13.7
2011;010620000000;Stormarn, Landkreis;23289.0;4.1;9.1;20.7;29.1;11.8;382.0;366.0;16.0;0.0;5246.0;70537.0;17.0;1.5;66.6;13.7
2012;010620000000;Stormarn, Landkreis;23957.0;4.1;9.6;21.4;31.1;12.3;364.0;344.0;20.0;0.0;680.0;937133.0;17.0;1.5;66.6;13.7
2013;010620000000;Stormarn, Landkreis;23790.0;4.2;9.7;20.9;31.2;13.3;366.0;335.0;31.0;0.0;602.0;131519.0;17.2;1.6;66.4;13.7
2014;010620000000;Stormarn, Landkreis;24233.0;4.0;9.8;21.7;31.4;14.0;363.0;338.0;24.0;1.0;211.0;59260.0;17.2;1.6;66.3;13.7
