JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2010;059150000000;Hamm, Kreisfreie Stadt;16254.0;10.7;9.3;16.9;55.1;22.2;496;460;32;4;218;41273;32.5;2.4;55.1;8.8
2010;059160000000;Herne, Kreisfreie Stadt;16318.0;13.2;9.6;12.8;43.8;22.1;423;389;34;0;298;32687;76.5;8.7;13.1;5.7
2010;059540000000;Ennepe-Ruhr-Kreis;21914.0;8.3;7.7;17.6;38.8;16.2;730;661;65;4;728;120493;28.4;1.6;39.1;30.1
2010;059580000000;Hochsauerlandkreis;20270.0;6.1;10.3;17.6;39.2;13.1;525;439;76;10;464;87295;11.8;0.6;31.1;55.8
2010;059620000000;Märkischer Kreis;22132.0;8.2;9.7;16.5;36.6;20.2;1433;1297;132;4;2127;371432;16.8;0.6;31.8;49.5
2010;059660000000;Olpe, Kreis;24503.0;5.4;12.9;14.9;32.1;16.2;246;222;15;9;126;25703;14.7;0.9;23.7;59.4
2010;059700000000;Siegen-Wittgenstein, Kreis;21185.0;6.8;11.9;16.7;37.4;15.2;417;378;30;9;700;62748;15.7;0.6;18.7;64.7
2010;059740000000;Soest, Kreis;19250.0;7.7;9.6;16.1;38.8;13.5;685;578;98;9;489;107656;15.0;0.9;62.4;19.9
2010;059780000000;Unna, Kreis;18192.0;10.0;10.1;13.3;44.0;16.2;860;791;65;4;1534;161002;31.0;1.8;54.7;12.3
2010;060000000000;Hessen;20208.0;6.4;10.0;16.2;37.5;24.2;11994;10973;816;205;6836;3043346;15.5;1.0;42.1;40.1
2010;064000000000;Darmstadt, Regierungsbezirk;21101.0;;9.5;16.0;38.3;29.9;7699;7007;617;75;3901;2386667;19.4;1.5;38.1;40.0
2010;064110000000;Darmstadt, Kreisfreie Stadt;21104.0;6.6;8.5;11.9;35.3;30.2;271;240;26;5;247;75907;34.9;3.8;18.6;44.9
2010;064120000000;Frankfurt am Main, Kreisfreie Stadt;20131.0;7.9;8.5;14.4;35.3;38.6;1669;1505;159;5;687;1077845;57.9;6.6;24.3;15.3
2010;064130000000;Offenbach am Main, Kreisfreie Stadt;17616.0;11.3;8.1;12.9;35.8;46.0;565;531;32;2;75;42163;49.1;5.6;14.1;33.3
2010;064140000000;Wiesbaden, Landeshauptstadt, Kreisfreie Stadt;21019.0;8.2;11.7;13.8;40.0;28.6;837;763;44;30;280;375316;38.8;6.1;29.9;27.7
2010;064310000000;Bergstraße, Landkreis;20826.0;5.4;8.8;17.1;46.9;20.1;406;344;56;6;256;91091;16.0;0.9;40.8;40.1
2010;064320000000;Darmstadt-Dieburg, Landkreis;21302.0;5.4;10.5;17.0;41.5;23.2;419;382;33;4;92;70926;18.6;1.0;44.2;35.1
2010;064330000000;Groß-Gerau, Landkreis;18994.0;6.0;10.8;12.0;37.5;35.5;404;370;27;7;612;96246;22.2;1.5;46.4;24.7
2010;064340000000;Hochtaunuskreis;27638.0;4.2;7.9;20.6;41.1;26.4;291;256;34;1;172;92610;19.0;1.4;29.6;50.3
2010;064350000000;Main-Kinzig-Kreis;20191.0;6.1;9.9;16.9;36.2;22.8;713;673;39;1;453;111399;15.6;1.0;39.0;43.3
2010;064360000000;Main-Taunus-Kreis;24174.0;4.8;7.9;18.5;38.6;27.8;223;196;23;4;367;45848;31.7;2.9;41.9;24.3
