AGS_BUND;BUNDESLAND;AGS;GEMEINDE;BEV_INGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;;;;;;
1;Schleswig-Holstein;1053033;Giesensdorf;125;63;62;;;;;;
1;Schleswig-Holstein;1053034;Göldenitz;233;121;112;;;;;;
1;Schleswig-Holstein;1053035;Göttin;60;31;29;;;;;;
1;Schleswig-Holstein;1053036;Grabau;282;141;141;;;;;;
1;Schleswig-Holstein;1053037;Grambek;419;199;220;;;;;;
1;Schleswig-Holstein;1053038;Grinau;302;158;144;;;;;;
1;Schleswig-Holstein;1053039;Groß Boden;192;99;93;;;;;;
1;Schleswig-Holstein;1053040;Groß Disnack;82;45;37;;;;;;
1;Schleswig-Holstein;1053041;Groß Grönau; 3 603; 1 755; 1 848;;;;;;
1;Schleswig-Holstein;1053042;Groß Pampau;151;77;74;;;;;;
1;Schleswig-Holstein;1053043;Groß Sarau;880;434;446;;;;;;
1;Schleswig-Holstein;1053044;Groß Schenkenberg;542;258;284;;;;;;
1;Schleswig-Holstein;1053045;Grove;242;124;118;;;;;;
1;Schleswig-Holstein;1053046;Gudow; 1 670;827;843;;;;;;
1;Schleswig-Holstein;1053047;Gülzow; 1 231;629;602;;;;;;
1;Schleswig-Holstein;1053048;Güster; 1 267;625;642;;;;;;
1;Schleswig-Holstein;1053049;Hamfelde;479;230;249;;;;;;
1;Schleswig-Holstein;1053050;Hamwarde;756;388;368;;;;;;
1;Schleswig-Holstein;1053051;Harmsdorf;290;145;145;;;;;;
1;Schleswig-Holstein;1053052;Havekost;156;72;84;;;;;;
1;Schleswig-Holstein;1053053;Hohenhorn;510;255;255;;;;;;
1;Schleswig-Holstein;1053054;Hollenbek;443;231;212;;;;;;
1;Schleswig-Holstein;1053056;Hornbek;199;100;99;;;;;;
1;Schleswig-Holstein;1053057;Horst;235;119;116;;;;;;
1;Schleswig-Holstein;1053058;Juliusburg;176;83;93;;;;;;
1;Schleswig-Holstein;1053059;Kankelau;218;110;108;;;;;;
1;Schleswig-Holstein;1053060;Kasseburg;569;279;290;;;;;;
1;Schleswig-Holstein;1053061;Kastorf; 1 179;590;589;;;;;;
1;Schleswig-Holstein;1053062;Kittlitz;243;131;112;;;;;;
1;Schleswig-Holstein;1053064;Klein Pampau;612;306;306;;;;;;
1;Schleswig-Holstein;1053066;Klein Zecher;240;117;123;;;;;;
1;Schleswig-Holstein;1053067;Klempau;610;313;297;;;;;;
1;Schleswig-Holstein;1053068;Klinkrade;602;288;314;;;;;;
1;Schleswig-Holstein;1053069;Koberg;764;384;380;;;;;;
1;Schleswig-Holstein;1053070;Köthel;269;133;136;;;;;;
1;Schleswig-Holstein;1053071;Kollow;604;290;314;;;;;;
1;Schleswig-Holstein;1053072;Kröppelshagen-Fahrendorf; 1 164;588;576;;;;;;
1;Schleswig-Holstein;1053073;Krüzen;358;183;175;;;;;;
1;Schleswig-Holstein;1053074;Krukow;161;85;76;;;;;;
1;Schleswig-Holstein;1053075;Krummesse; 1 751;824;927;;;;;;
1;Schleswig-Holstein;1053076;Kuddewörde; 1 344;649;695;;;;;;
1;Schleswig-Holstein;1053077;Kühsen;376;180;196;;;;;;
1;Schleswig-Holstein;1053078;Kulpin;217;102;115;;;;;;
1;Schleswig-Holstein;1053079;Labenz;848;430;418;;;;;;
1;Schleswig-Holstein;1053080;Langenlehsten;169;86;83;;;;;;
1;Schleswig-Holstein;1053081;Lankau;491;251;240;;;;;;
1;Schleswig-Holstein;1053082;Lanze;279;138;141;;;;;;
1;Schleswig-Holstein;1053083;Lauenburg/ Elbe, Stadt; 11 150; 5 528; 5 622;;;;;;
1;Schleswig-Holstein;1053084;Lehmrade;483;230;253;;;;;;
1;Schleswig-Holstein;1053085;Linau; 1 199;609;590;;;;;;
1;Schleswig-Holstein;1053086;Lüchow;285;140;145;;;;;;
1;Schleswig-Holstein;1053087;Lütau;714;354;360;;;;;;
1;Schleswig-Holstein;1053088;Mechow;110;55;55;;;;;;
1;Schleswig-Holstein;1053089;Möhnsen;543;273;270;;;;;;
1;Schleswig-Holstein;1053090;Mölln, Stadt; 18 409; 8 678; 9 731;;;;;;
1;Schleswig-Holstein;1053091;Mühlenrade;177;93;84;;;;;;
1;Schleswig-Holstein;1053092;Müssen;996;495;501;;;;;;
1;Schleswig-Holstein;1053093;Mustin;757;362;395;;;;;;
1;Schleswig-Holstein;1053094;Niendorf bei Berkenthin;195;94;101;;;;;;
